,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,::00,::00,::00,6,7,,10,12,11,13,14,"1500,00%",Heures fonctionnement calculées,"1700,00%","1800,00%","1900,00%","2000,00%","21,0","2200,00%","24,00","25,00","26,00","27,00","28,00","29,00",Niveau silo  REFIOM,Livraison Bicar,,Niveau silo bicarbonate,,,Niveau silo charbon actif,,,Niveau cuve ammoniaque,Gaz compteur_Brûleur haut,Gaz compteur_Brûleur bas,Compteur Brûleur Denox,,Compteur Eau de forage Totale,Compteur eau ville industrielle,Compteur EAU douche P2,Compteur eau déminéralisée FQ64327 (local osomoseur),Compteur eau de process FQ03110 (SNCC),Compteur eau déminéralisée jour FQ64327 (local osomoseur),Compteur eau de ville/industrielle FQ64005 (SNCC),Compteur eau de tremis OM ,FQI 64 050_Valeur compteur eau adoucie,,,Production thermique SST,,Compteur GTA FUJI (A.tot) HTA,Compteur GTA DIRIS A40 (TGBT),
,2025,,,APPORTS,,,,,,,,TEMPS de FONCTIONNEMENT,,,,,,,,EVACUATIONS,,,,,,,CONSOMMABLES,,,,,,,,,,,,,,,,,,,,,,,,,,Energie ELECTRIQUE,,
,,,,Tonnage INCINERATION,,,VERRE,,,Emballage,,,,,,,,,,REFIOM,,FERRAILLE,,MACHEFERS,,Niv. REFIOM,Livraison REACTIFS,,,,,,,,,,,,,,,,,,,,,,,,,,Production,,
,Unités,,,T,T,T,T,Camion,T,T,T,Dispo en %,"Hrs
/ jour",,"Hrs
Cumul mensuel",,"Dispo Cumul
en %",hr,Commentaire,Camion,T,Camion,T,Camion,T,T,T,T,T,T,T,T,m3,m3,m3,m3,m3,m3,m3,m3,m3,m3,m3,m3,m3,m3,m3,m3,m3,T/h,MWh,MW,MWh,MWh,MW
Remplir manuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Jour du 
mois",Date,Jour,"POIDS
NET",DEVOIEMENT,Tonnage incinéré,APPORTS VERRE,EVACUATION VERRE PLANIFIEE,"EVACUATION 
VERRE Réel","APPORTS
EMBALLAGE","EVACUATION
EMBALLAGE","Dispo quotidien
 en %",Temps de fonctionnement L1,Temps de fonctionnement L1 min,Temps de fonctionnement cumulé mensuel L1,Temps de fonctionnement cumulé mensuel L1 min,"Cumul Dispo mensuelle
 en %",Temps d'arret L1,"Evènements
Ligne 1","Refiom 
Planifié","Refiom 
Réel","Ferraille
Planifié","Ferraille
Réel","Machefers
Planifié","Machefers
Réel","Niveau Refiom
Réel",Dépotage BICARBONATE planifié," Dépotage BICARBONATE 
Réel",Niveau BICAR,Dépotage CHARBON ACTIF planifié,"Dépotage CHARBON
 ACTIF Réel","Niveau CHARBON
 ACTIF",Dépotage AMMONIAQUE planifié,Dépotage AMMONIAQUE Réel,Niveau AMMONIAQUE,Four haut,Four bas,DeNox,Gaz global,Eau forage,Eau de ville industrielle,Docuhe P2,Eau déminé,Eau de process (SNCC),Compteur eau déminéralisée jour FQ64327 (local osomoseur),Eau de ville/indus. FQ64005 (SNCC),Eau de trémis OM ,Eau adoucie ,"Delta conso 
eau adoucie J; J-1 ",Débit vapeur moyen par jour ,Production thermique SST,"Puissance
Moyenne
Horaire",Energie GTA FUJI (A.tot) HTA,Energie GTA DIRIS A40 (TGBT),"Puissance
Moyenne
horaire élec"
janvier 2025,1,01/01/2025,mercredi,"23,04",0,230,,,,,,"100,00%",24,0,24,0,"100,00%","0,0",,,,,,,,20,,,53,,,15,,,6,0,"0,0",0,0,16,0,,,0,"10,00",11,"0,00",15,-30,30,101,"420,83%","92,30","93,00","3,85"
,2,02/01/2025,jeudi,"349,04",0,230,"15,90",,,"14,14","14,14","100,00%",24,0,48,0,"100,00%","0,0",,,"23,80",,,,"112,66",29,,,50,,,15,,,6,0,"0,0",0,0,34,0,,,0,"14,00",11,"0,00",22,7,30,110,"457,08%","108,30","109,00","4,51"
,3,03/01/2025,vendredi,"288,45",0,230,"12,66",,,"10,76","8,28","100,00%",24,0,72,0,"100,00%","0,0",,,,,,,"109,92",14,,,47,,,15,,,6,2,"0,0",0,2,42,0,,,,"13,00",9,"0,00",23,1,30,143,"596,25%","112,80","113,30","4,70"
,4,04/01/2025,samedi,"191,36",0,230,,,,,,"100,00%",24,0,96,0,"100,00%","0,0",,,,,,,,20,,,45,,,15,,,6,0,"0,0",0,0,39,0,,,,"9,00",0,"0,00",19,-4,30,127,"530,00%","109,40","109,10","4,56"
,5,05/01/2025,dimanche,"0,96",0,230,,,,,,"100,00%",24,0,120,0,"100,00%","0,0",,,,,,,,25,,,43,,,15,,,5,0,"0,0",0,0,"11,1",0,,,0,"18,00",1,"0,00",20,1,30,86,"356,25%","103,40","105,60","4,31"
,6,06/01/2025,lundi,"301,30",0,230,,,,"13,44","16,08","100,00%",24,0,144,0,"100,00%","0,0",,,,,,,,33,,,40,,,15,,,5,0,"0,0",0,0,"51,5",0,,,0,"16,00",10,"0,00",24,4,30,93,"385,42%","125,80","107,00","5,24"
,7,07/01/2025,mardi,"427,18",0,230,,,"21,28","8,10","15,00","100,00%",24,0,168,0,"100,00%","0,0",,,,,,,"55,60",40,,,37,,,15,,,5,0,"0,0",0,0,"28,0",0,,,0,"12,00",12,"0,00",19,-5,30,95,"395,83%","97,00","115,00","4,04"
,8,08/01/2025,mercredi,"369,62",0,230,,,,"10,96","6,24","100,00%",24,0,192,0,"100,00%","0,0",,,"26,32",,,,"116,10",17,,,35,,,15,,20,27,7,"2,0",0,9,32,0,,,"0,025","14,00",12,"0,00",21,2,30,108,"450,00%","117,00","118,00","4,88"
,9,09/01/2025,jeudi,"286,12",0,230,"11,62",,"19,48","9,00","9,60","100,00%",24,0,216,0,"100,00%","0,0",,,,,,,"112,82",23,,,33,,,15,,,27,0,"0,0",0,0,28,0,,,0,"14,00",12,"0,00",20,-1,30,105,"437,50%","106,00","107,00","4,42"
,10,10/01/2025,vendredi,"279,57",0,230,,,"28,66","11,68","16,18","100,00%",24,0,240,0,"100,00%","0,0",,,,"3,00","35,90",,"112,90",29,,25,57,,,14,,,27,0,"0,0",0,0,38,0,,,0,"14,00",14,"0,00",23,3,30,106,"443,33%","93,50","93,00","3,90"
,11,11/01/2025,samedi,"101,02",0,230,,,,,,"100,00%",24,0,264,0,"100,00%","0,0",,,,,,,,35,,,54,,,14,,,26,0,"0,0",0,0,30,0,,,0,"13,00",16,"0,00",25,2,30,129,"535,83%","100,40","100,00","4,18"
,12,12/01/2025,dimanche,"2,64",0,230,,,,,,"100,00%",24,0,288,0,"100,00%","0,0",,,,,,,,40,,,52,,,14,,,26,0,"0,0",0,0,"31,1",0,,,0,"19,00",15,"0,00",26,1,29,132,"550,00%","100,30","102,00","4,18"
,13,13/01/2025,lundi,"327,88",0,230,"13,60",,"19,24","11,28","7,28","100,00%",24,0,312,0,"100,00%","0,0",,,"25,50",,,,,18,,,50,,,14,,,26,5,"5,0",0,10,"38,9",0,,,0,"20,00",16,"0,00",29,3,31,122,"507,50%","111,90","111,00","4,66"
,14,14/01/2025,mardi,"385,76",0,230,,,"19,22","7,48",,"100,00%",24,0,336,0,"100,00%","0,0",,,,,"10,36",,"130,24",25,,,48,,,14,,,25,0,"0,0",0,0,"40,2",0,,,0,"20,00",19,"0,00",31,2,30,114,"475,42%","105,10","106,00","4,38"
,15,15/01/2025,mercredi,"309,56",0,230,,,,"7,24","13,22","100,00%",24,0,360,0,"100,00%","0,0",,,,,,,"84,08",31,,,47,,,14,,,25,0,"0,0",0,0,41,0,,,0,"18,00",16,"0,00",29,-2,30,97,"404,58%","98,80","99,00","4,12"
,16,16/01/2025,jeudi,"297,28",0,230,,,"26,30","7,10",,"100,00%",24,0,384,0,"100,00%","0,0",,,,,,,,36,,,45,,,14,,,25,0,"0,0",0,0,40,0,,,0,"18,00",17,"0,00",27,-2,29,110,"458,33%","104,00","99,00","4,33"
,17,17/01/2025,vendredi,"405,48",0,230,,,,"9,70","7,48","100,00%",24,0,408,0,"100,00%","0,0",,,,,,,,42,,,43,,,14,,,24,0,"0,0",0,0,42,0,,,0,"20,00",19,"0,00",29,2,30,127,"528,33%","118,60","122,40","4,94"
,18,18/01/2025,samedi,"21,46",0,230,,,,,,"100,00%",24,0,432,0,"100,00%","0,0",,,,,,,,47,,,41,,,14,,,24,0,,0,0,35,0,,,0,"16,00",16,"0,00",27,-2,30,126,"524,17%","105,10","106,30","4,38"
,19,19/01/2025,dimanche,"1,22",0,230,,,,,,"100,00%",24,0,456,0,"100,00%","0,0",,,,,,,,52,,,39,,,14,,,24,0,"0,0",0,0,"33,0",0,,,0,"18,00",15,"0,00",26,-1,31,124,"517,50%","106,20","107,60","4,43"
,20,20/01/2025,lundi,"355,70",0,230,"12,34",,,"10,00","8,08","100,00%",24,0,480,0,"100,00%","0,0",,,"25,92",,"15,54",,,30,,,37,,,14,,,23,0,"0,0",0,0,"33,2",0,,,0,"17,00",16,"0,00",26,0,30,115,"480,83%","108,10","106,70","4,50"
,21,21/01/2025,mardi,"323,90",0,230,,,,"6,48","12,94","100,00%",24,0,504,0,"100,00%","0,0",,,,,"17,26",,"81,12",36,,29,63,,,14,,,23,27,"39,0",0,66,"37,0",0,,,0,"15,00",14,"0,00",26,0,30,108,"450,42%","109,60","111,40","4,57"
,22,22/01/2025,mercredi,"216,56",0,230,,,,"7,26",,"100,00%",24,0,528,0,"100,00%","0,0",,,,,,,"80,80",42,,,62,,,14,,,23,9,"8,0",0,17,49,0,,,0,"18,00",15,"0,00",25,-1,30,83,"345,83%","102,60","103,40","4,28"
,23,23/01/2025,jeudi,"209,96",0,230,,,,"7,06","14,92","100,00%",24,0,552,0,"100,00%","0,0",,,,,"17,18",,,48,,,60,,,14,,,23,0,"0,0",0,0,48,0,,,0,"17,00",15,"0,00",29,4,30,89,"371,67%","110,20","110,70","4,59"
,24,24/01/2025,vendredi,"233,02",0,230,"11,24",,,"10,08","8,30","100,00%",24,0,576,0,"100,00%","0,0",,,"25,14",,,,,27,,,58,,,14,,,22,0,"0,0",0,0,40,0,,,,"19,00",,"0,00",27,-2,30,87,"362,50%","126,70","126,50","5,28"
,25,25/01/2025,samedi,"43,50",0,230,,,,,,"100,00%",24,0,600,0,"100,00%","0,0",,,,,,,,33,,,56,,,13,,,22,0,"0,0",0,0,,,,,,,25,"0,00",,-27,31,83,"343,75%","131,40","132,00","5,48"
,26,26/01/2025,dimanche,"0,80",0,230,,,,,,"100,00%",24,0,624,0,"100,00%","0,0",,,,,,,,39,,,54,,,13,,,22,0,"0,0",0,0,,,,,,"29,00",10,"0,00",,0,31,88,"366,67%","114,90","115,00","4,79"
,27,27/01/2025,lundi,"375,13",0,230,"13,74",,,"13,70","14,58","100,00%",24,0,648,0,"100,00%","0,0",,,"25,62",,,,"110,82",18,,,52,,,13,,,22,0,"0,0",0,0,"82,2",0,,,0,"17,00",17,"0,00",65,65,30,63,"262,92%","99,90","100,60","4,16"
,28,28/01/2025,mardi,"312,30",0,230,,,,"7,16","6,98","100,00%",24,0,672,0,"100,00%","0,0",,,,,"8,60",,"161,14",23,,,48,,,13,,,21,0,"0,0",0,0,"28,8",0,,,0,"14,00",17,"0,00",24,-41,30,80,"333,33%","117,80","118,70","4,91"
,29,29/01/2025,mercredi,"280,44",0,230,,,"20,14","7,70","13,62","100,00%",24,0,696,0,"100,00%","0,0",,,,,"20,58",,"163,68",30,,,48,,,13,,,21,0,"0,0",0,0,45,0,,,0,"19,00",8,"0,00",26,2,30,54,"224,58%","111,70","113,70","4,65"
,30,30/01/2025,jeudi,"242,26",0,230,,,,"6,66",,"100,00%",24,0,720,0,"100,00%","0,0",,,,,"11,20",,"112,48",37,,,45,,,13,,,21,0,"0,0",0,0,38,0,,,0,"16,00",14,"0,00",27,1,30,141,"585,83%","99,10","98,00","4,13"
,31,31/01/2025,vendredi,"242,64",0,230,"12,52",,,"10,98","16,80","100,00%",24,0,744,0,"100,00%","0,0",,,"25,88",,,,"85,04",15,,,43,,,13,,,21,0,"0,0",0,0,38,0,,,0,"17,00",13,"0,00",25,-2,30,118,"493,33%","115,10","115,00","4,80"
février 2025,1,01/02/2025,samedi,"54,00",0,230,,,,,,"100,00%",24,0,24,0,"100,00%","0,0",,,,,,,,22,,,40,,,13,,,21,0,"0,0",0,0,"31,0",0,,,0,"15,00",13,"0,00",21,-4,31,120,"500,00%","113,00","111,00","4,71"
,2,02/02/2025,dimanche,"0,72",0,230,,,,,,"100,00%",24,0,48,0,"100,00%","0,0",,,,,,,,29,,,37,,,13,,,20,0,"0,0",0,0,"33,0",0,,,0,"16,00",15,"0,00",29,8,31,124,"516,67%","108,00","109,00","4,50"
,3,03/02/2025,lundi,"413,06",0,230,,,,"11,56","7,44","100,00%",24,0,72,0,"100,00%","0,0",,,,,,,,34,,,35,,,13,,,20,0,"0,0",73,73,"24,0",0,,,0,"14,00",11,"0,00",20,-9,28,111,"463,33%","78,70","81,00","3,28"
,4,04/02/2025,mardi,"441,04",0,230,"13,44",,,"7,26",8,"100,00%",24,0,96,0,"100,00%","0,0",,,"25,76",,,,,11,,21,53,,,13,,,20,,,180,180,"24,0",0,,,0,"14,00",13,"0,00",21,1,27,116,"483,75%","89,10","89,00","3,71"
,5,05/02/2025,mercredi,"306,48",0,230,,,,"8,02","5,76","100,00%",24,0,120,0,"100,00%","0,0",,,,,"22,40",,,17,,,51,,,13,,,19,0,"0,0",298,298,46,0,,,0,"19,00",14,"0,00",28,7,27,132,"551,67%","94,80","95,40","3,95"
,6,06/02/2025,jeudi,"379,94",0,144,,,,"7,54","8,66","100,00%",24,0,144,0,"100,00%","0,0",,,,,"16,42",,,22,,,49,,,13,,,19,0,"0,0",230,230,33,0,,,0,"16,00",13,"0,00",24,-4,27,110,"456,25%","94,50","94,90","3,94"
,7,07/02/2025,vendredi,"365,78",0,144,"9,04",,,"10,18","7,86","100,00%",24,0,168,0,"100,00%","0,0",,,"24,62",,,,,0,,,47,,,13,,,19,0,"0,0",114,114,26,0,,,0,"12,00",10,"0,00",23,-1,26,93,"386,67%","89,90","88,70","3,75"
,8,08/02/2025,samedi,"161,01",0,144,,,,,,"100,00%",24,0,192,0,"100,00%","0,0",,,,,,,,7,,,45,,,13,,,19,42,"56,0",173,271,,,,,0,"12,00",14,"0,00",,-23,26,102,"425,00%","106,00","107,00","4,42"
,9,09/02/2025,dimanche,"0,74",0,144,,,,,,"100,00%",24,0,216,0,"100,00%","0,0",,,,,,,,13,,,42,,,13,,,19,0,"0,0",0,0,"55,0",0,,,0,"18,00",14,"0,00",44,44,28,71,"295,83%","82,00","82,00","3,42"
,10,10/02/2025,lundi,"491,54",0,144,,,,"11,28","14,84","100,00%",24,0,240,0,"100,00%","0,0",,,,,,"4,00","110,16",18,,,40,,,13,,,19,0,"0,0",0,0,"34,0",0,,,0,"18,00",12,"0,00",26,-18,27,82,"341,67%","114,00","115,00","4,75"
,11,11/02/2025,mardi,"291,44",0,144,,,,"6,74",,"100,00%",24,0,264,0,"100,00%","0,0",,,,,"6,64","4,00","115,36",22,,,38,,,13,,,19,0,"0,0",0,0,"31,0",0,,,0,"15,00",12,"0,00",23,-3,23,54,"225,00%","81,00","81,00","3,38"
,12,12/02/2025,mercredi,"223,90",0,144,,,,"6,26","11,16","100,00%",24,0,288,0,"100,00%","0,0",,,"21,22",,,"4,00","170,48",3,,,36,,,12,,,19,1,"0,0",0,1,29,0,,,0,"11,00",10,"0,00",17,-6,22,43,"179,58%","81,00","82,00","3,38"
,13,13/02/2025,jeudi,"131,10",0,144,,,"24,02","6,10","7,68","100,00%",24,0,312,0,"100,00%","0,0",,,,,"13,52","4,00","110,54",8,,26,60,,,12,,,18,0,"0,0",0,0,36,0,,,0,"17,00",14,"0,00",27,10,26,55,"228,75%","80,70","80,00","3,36"
,14,14/02/2025,vendredi,"204,44",0,216,"11,04",,,"9,08",,"100,00%",24,0,336,0,"100,00%","0,0",,,,,"43,84","4,00","86,20",13,,,57,,,12,,,18,0,"0,0",0,0,33,0,,,0,"14,00",12,"0,00",22,-5,26,55,"229,58%","105,30","106,00","4,39"
,15,15/02/2025,samedi,"20,30",0,216,,,,,,"100,00%",24,0,360,0,"100,00%","0,0",,,,,,,,20,,,54,,,12,,,18,0,"0,0",0,0,33,0,,,0,"17,00",14,"0,00",27,5,30,50,"210,00%","118,60","119,00","4,94"
,16,16/02/2025,dimanche,"0,76",0,207,,,,,,"98,54%",23,39,383,39,"99,91%","0,4","ASL sur perte tirage dépréssion four (trémie vide pas de ""trémie vide"") en supervision",,,,,,,26,,,52,,,12,,,18,0,"0,0",0,0,"30,7",0,,,0,"17,00",14,"0,00",26,-1,29,"50,0","211,42%","116,00","116,00","4,83"
,17,17/02/2025,lundi,"227,26",0,216,"12,86",,"19,94","9,60","15,30","100,00%",24,0,407,39,"99,91%","0,0",,,,,,,"28,08",31,,,50,,,12,,,17,7,"3,0",0,10,"38,6",0,,,0,"14,00",12,"0,00",22,-4,29,48,"198,33%","110,50","112,00","4,60"
,18,18/02/2025,mardi,"249,28",0,144,,,,"6,36",7,"77,57%",18,37,426,16,"98,67%","5,4",Débourrage Caisson sous rouleau 1,,,"1,00","9,34",,"52,18",38,,,48,,,12,,,17,805,"1159,0",0,1 964,"30,0",0,,,0,"16,00",13,"0,00",23,1,26,49,"263,74%","100,30","100,00","4,18"
,19,19/02/2025,mercredi,"217,68",0,230,,,,"7,56","11,74","100,00%",24,0,450,16,"98,74%","0,0",,,"24,72",,,,,18,,,44,,,12,,,17,0,"0,0",0,0,41,0,,,0,"19,00",14,"0,00",30,7,31,53,"220,00%","140,60","139,00","5,86"
,20,20/02/2025,jeudi,"201,48",0,230,"12,36",,,"6,34","6,36","100,00%",24,0,474,16,"98,81%","0,0",,,,"1,00","11,44",,,24,,,41,,,12,,,17,0,"0,0",0,0,40,0,,,0,"20,00",16,"0,00",30,0,29,53,"220,83%","114,00","116,00","4,75"
,21,21/02/2025,vendredi,"230,60",0,230,,,,"9,48",,"100,00%",24,0,498,16,"98,86%","0,0",,,,,,,,32,,,38,,,12,,,17,0,"0,0",0,0,41,0,,,0,"15,00",17,"0,00",26,-4,29,51,"212,08%","106,50","109,00","4,44"
,22,22/02/2025,samedi,"33,00",0,230,,,,,,"100,00%",24,0,522,16,"98,91%","0,0",,,,,,,,38,,,34,,,12,,,17,0,"0,0",0,0,42,0,,,0,"22,00",17,"0,00",34,8,29,46,"191,25%","116,40","116,00","4,85"
,23,23/02/2025,dimanche,"0,66",0,230,,,,,,"100,00%",24,0,546,16,"98,96%","0,0",,,,,,,,44,,,31,,,12,,,16,0,"0,0",0,0,"38,0",0,,,0,"19,00",16,"0,00",29,-5,29,64,"267,08%","113,60","114,00","4,73"
,24,24/02/2025,lundi,"365,36",0,230,,,,"11,02","7,02","100,00%",24,0,570,16,"99,00%","0,0",,,"25,04",,,,,23,,29,56,,,12,,,16,0,"0,0",0,0,"40,0",0,,,0,"20,00",16,"0,00",30,1,29,60,"250,42%","122,20","122,00","5,09"
,25,25/02/2025,mardi,"322,98",0,230,,,20,"6,94",14,"100,00%",24,0,594,16,"99,04%","0,0",,,,"1,00","16,78",,"112,94",29,,,53,,,12,,,16,0,"0,0",0,0,"28,0",0,,,0,"17,00",13,"0,00",26,-4,29,55,"229,17%","110,10","110,00","4,59"
,26,26/02/2025,mercredi,"260,92",0,230,,,,"7,08","14,34","100,00%",24,0,618,16,"99,08%","0,0",,,,,,,"87,46",36,,,50,,,12,,,16,0,"0,0",0,0,29,0,,,0,"12,00",12,"0,00",18,-8,28,48,"200,83%","90,80","100,00","3,78"
,27,27/02/2025,jeudi,"176,08",0,230,"11,82",,,"6,50","8,00","100,00%",24,0,642,16,"99,12%","0,0",,,"22,66","1,00","8,54",,"174,84",17,,,48,,,11,,,15,452,"622,0",0,1 074,34,0,,,0,"13,00",9,"0,00",21,3,26,54,"222,92%","105,60","97,00","4,40"
,28,28/02/2025,vendredi,"272,10",0,230,,,,"9,70",,"100,00%",24,0,666,16,"99,15%","0,0",,,,,,,"168,68",24,,,44,,,11,,,15,144,"0,0",0,144,29,0,,,0,"16,00",16,"0,00",24,3,28,55,"230,83%","111,20","113,00","4,63"
mars 2025,1,01/03/2025,samedi,"111,06",0,230,,,,,,"100,00%",24,0,24,0,"100,0%","0,0",,,,,,,,30,,,40,,,11,,,15,0,"0,0",0,0,"39,7",0,,,0,"17,00",14,"0,00",26,2,29,60,"249,17%","124,30","124,10","5,18"
,2,02/03/2025,dimanche,"0,64",0,230,,,,,,"100,00%",24,0,48,0,"100,0%","0,0",,,,,,,,36,,,37,,,11,,,15,0,"0,0",0,0,"34,0",0,,,0,"15,00",12,"0,00",24,-2,29,54,"222,92%","114,40","114,70","4,77"
,3,03/03/2025,lundi,"354,08",0,192,"11,74",,,"11,34",7,"100,00%",24,0,72,0,"100,0%","0,0",,,"24,54",,"9,36",,"83,64",15,,,34,,,11,,,15,0,"0,0",0,0,"27,2",0,,,0,"17,00",14,"0,00",27,3,25,54,"225,83%","97,10","96,20","4,05"
